anio	trimestre	aglomerado_origen	localidad_destino	viajantes
2012	4	Paraná	Aldea Brasilera	4360
2012	4	Paraná	Aldea María Luisa	1908
2012	4	Paraná	Aldea Valle María	2408
2012	4	Paraná	Chajarí	352
2012	4	Paraná	Ciudad de Buenos Aires	3162
2012	4	Paraná	Colón	4264
2012	4	Paraná	Concepción del Uruguay	7909
2012	4	Paraná	Concordia	969
2012	4	Paraná	Córdoba	592
2012	4	Paraná	Diamante	755
2012	4	Paraná	Federación	1321
2012	4	Paraná	Federal	869
2012	4	Paraná	Hernandarias	4120
2012	4	Paraná	Huerta Grande	294
2012	4	Paraná	Islas	320
2012	4	Paraná	La Banda	2112
2012	4	Paraná	La Falda	306
2012	4	Paraná	La Paz	153
2012	4	Paraná	La Picada	2940
2012	4	Paraná	Magdalena	1041
2012	4	Paraná	Mar del Plata	3174
2012	4	Paraná	Oro Verde	15346
2012	4	Paraná	Puerto Iguazú	2368
2012	4	Paraná	Rosario	6758
2012	4	Paraná	Salta	1516
2012	4	Paraná	San Javier y Yacanto	306
2012	4	Paraná	San José de Feliciano	10401
2012	4	Paraná	Santa Fe	33417
2012	4	Paraná	Santa Rosa de Río Primero	11000
2012	4	Paraná	Santo Tomé	26841
2012	4	Paraná	Valle Hermoso	731
2012	4	Paraná	Viale	1458
2012	4	Paraná	Victoria	280
2012	4	Paraná	Villa Urquiza	7926
2012	4	Paraná	Villaguay	1488
2013	1	Concordia	Chajarí	16352
2013	1	Concordia	Colón	1594
2013	1	Concordia	Concordia	82746
2013	1	Concordia	Federación	4168
2013	1	Concordia	Gualeguaychú	444
2013	1	Concordia	Mar del Plata	1060
2013	1	Concordia	Neuquén	148
2013	1	Concordia	Oberá	307
2013	1	Concordia	Paraná	5062
2013	1	Concordia	Pinamar	447
2013	1	Concordia	Salta	444
2013	1	Concordia	San Pedro	1071
2013	1	Concordia	Santa Rosa de Calamuchita	8876
2013	1	Concordia	Tandil	1956
2013	1	Concordia	Villa Gesell	296
2013	1	Paraná	Cerrito	1467
2013	1	Paraná	Ciudad de Buenos Aires	14423
2013	1	Paraná	Colón	90290
2013	1	Paraná	Concordia	290
2013	1	Paraná	Coronda	247
2013	1	Paraná	Córdoba	142
2013	1	Paraná	Diamante	68896
2013	1	Paraná	Empedrado	474
2013	1	Paraná	Esperanza	1148
2013	1	Paraná	Federación	3529
2013	1	Paraná	Guadalupe Norte	142
2013	1	Paraná	Gualeguaychú	4270
2013	1	Paraná	Hernandarias	573
2013	1	Paraná	La Cumbre	8032
2013	1	Paraná	La Falda	426
2013	1	Paraná	La Paz	16572
2013	1	Paraná	La Picada	284
2013	1	Paraná	Mar del Plata	8540
2013	1	Paraná	María Grande	53490
2013	1	Paraná	Piedras Blancas	69560
2013	1	Paraná	Puerto Iguazú	580
2013	1	Paraná	Rosario	6440
2013	1	Paraná	San Nicolás de los Arroyos	290
2013	1	Paraná	Santa Fe	58655
2013	1	Paraná	Santa Rosa de Calamuchita	292
2013	1	Paraná	Sauce Montrull	2632
2013	1	Paraná	Victoria	224
2013	1	Paraná	Villa Urquiza	11516
2013	2	Concordia	Chajarí	568
2013	2	Concordia	Chivilcoy	309
2013	2	Concordia	Ciudad de Buenos Aires	2616
2013	2	Concordia	Colón	11672
2013	2	Concordia	Concordia	279
2013	2	Concordia	Corrientes	1577
2013	2	Concordia	Crespo	1205
2013	2	Concordia	Federación	4292
2013	2	Concordia	Federal	2448
2013	2	Concordia	Gualeguaychú	447
2013	2	Concordia	Maciá	4168
2013	2	Concordia	Mendoza, Ciudad de	157
2013	2	Concordia	Nogoyá	19452
2013	2	Concordia	Nueva Escocia	434
2013	2	Concordia	Rosario	560
2013	2	Concordia	Río Gallegos	156
2013	2	Concordia	San Salvador	2656
2013	2	Concordia	San Vicente	588
2013	2	Concordia	Villa Carlos Paz	2483
2013	2	Concordia	Villaguay	278
2013	2	Paraná	Aldea San Francisco	882
2013	2	Paraná	Cerrito	544
2013	2	Paraná	Ciudad de Buenos Aires	8774
2013	2	Paraná	Colón	2406
2013	2	Paraná	Concepción del Uruguay	318
2013	2	Paraná	Crespo	862
2013	2	Paraná	Diamante	1252
2013	2	Paraná	Don Cristóbal	8060
2013	2	Paraná	Esperanza	1084
2013	2	Paraná	General Ramírez	886
2013	2	Paraná	Guatimozín	1084
2013	2	Paraná	La Paz	2553
2013	2	Paraná	Libertador San Martín	634
2013	2	Paraná	María Grande	48452
2013	2	Paraná	Mendoza, Ciudad de	272
2013	2	Paraná	Pueblo Brugo	426
2013	2	Paraná	Puerto Iguazú	314
2013	2	Paraná	Rosario	3748
2013	2	Paraná	Rosario del Tala	1679
2013	2	Paraná	Río Gallegos	634
2013	2	Paraná	San Salvador de Jujuy	7954
2013	2	Paraná	Santa Fe	21834
2013	2	Paraná	Santa María de Punilla	584
2013	2	Paraná	Santiago del Estero	314
2013	2	Paraná	Santo Tomé	5792
2013	2	Paraná	Tigre	558
2013	2	Paraná	Uspallata	794
2013	2	Paraná	Viale	290
2013	2	Paraná	Victoria	11844
2013	2	Paraná	Villa Cura Brochero	292
2013	2	Paraná	Villa Urquiza	14289
2013	3	Concordia	Alta Gracia	287
2013	3	Concordia	Apóstoles	11583
2013	3	Concordia	Bahía Blanca	868
2013	3	Concordia	Chajarí	31050
2013	3	Concordia	Ciudad de Buenos Aires	35102
2013	3	Concordia	Colón	13834
2013	3	Concordia	Curuzú Cuatiá	316
2013	3	Concordia	Federación	39791
2013	3	Concordia	Gualeguaychú	289
2013	3	Concordia	La Plata	288
2013	3	Concordia	Merlo	287
2013	3	Concordia	Moreno	632
2013	3	Concordia	Puerto Madryn	4306
2013	3	Concordia	Salta	1023
2013	3	Concordia	Santa Fe	576
2013	3	Concordia	Simoca	385
2013	3	Concordia	Villaguay	5185
2013	3	Concordia	Wilde	372
2013	3	Paraná	Aldea María Luisa	15655
2013	3	Paraná	Bialet Massé	848
2013	3	Paraná	Ciudad de Buenos Aires	16285
2013	3	Paraná	Colonia Avellaneda	4384
2013	3	Paraná	Colón	20198
2013	3	Paraná	Crespo	1562
2013	3	Paraná	Diamante	7490
2013	3	Paraná	Esperanza	1554
2013	3	Paraná	Federación	3648
2013	3	Paraná	General Galarza	2808
2013	3	Paraná	Gobernador Crespo	4212
2013	3	Paraná	Gualeguay	2508
2013	3	Paraná	Gualeguaychú	825
2013	3	Paraná	Hernandarias	21774
2013	3	Paraná	La Falda	536
2013	3	Paraná	La Picada	548
2013	3	Paraná	María Grande	1072
2013	3	Paraná	Mendoza, Ciudad de	615
2013	3	Paraná	Merlo	552
2013	3	Paraná	Nogoyá	6346
2013	3	Paraná	Paraná	21673
2013	3	Paraná	Piedras Blancas	552
2013	3	Paraná	Rosario	18415
2013	3	Paraná	San Carlos de Bariloche	846
2013	3	Paraná	San Salvador de Jujuy	552
2013	3	Paraná	Santa Fe	46300
2013	3	Paraná	Sauce de Luna	278
2013	3	Paraná	Viale	1442
2013	3	Paraná	Victoria	3272
2013	3	Paraná	Villa Carlos Paz	275
2013	3	Paraná	Villa Urquiza	20655
2013	4	Concordia	Cañada Honda	365
2013	4	Concordia	Chajarí	54336
2013	4	Concordia	Ciudad de Buenos Aires	8282
2013	4	Concordia	Colón	12382
2013	4	Concordia	Federación	12382
2013	4	Concordia	Mar del Plata	4688
2013	4	Concordia	Rosario	556
2013	4	Concordia	San Jaime de la Frontera	10580
2013	4	Concordia	San Salvador	13590
2013	4	Concordia	Santa Fe	5646
2013	4	Concordia	Santa Rosa de Calamuchita	311
2013	4	Concordia	Victoria	1112
2013	4	Concordia	Villaguay	2657
2013	4	Paraná	Aldea Valle María	32060
2013	4	Paraná	Cañada de Gómez	542
2013	4	Paraná	Cerrito	2000
2013	4	Paraná	Ciudad de Buenos Aires	17677
2013	4	Paraná	Colón	4617
2013	4	Paraná	Concordia	1106
2013	4	Paraná	Crespo	4075
2013	4	Paraná	Córdoba	13706
2013	4	Paraná	Diamante	5725
2013	4	Paraná	Esperanza	550
2013	4	Paraná	Federación	888
2013	4	Paraná	General Galarza	2052
2013	4	Paraná	General Pacheco	550
2013	4	Paraná	General Racedo	291
2013	4	Paraná	Gualeguay	2689
2013	4	Paraná	Gualeguaychú	3560
2013	4	Paraná	Hernandarias	550
2013	4	Paraná	La Paz	1373
2013	4	Paraná	Larroque	542
2013	4	Paraná	Libertador San Martín	1386
2013	4	Paraná	Mar del Plata	271
2013	4	Paraná	María Grande	552
2013	4	Paraná	Mendoza, Ciudad de	291
2013	4	Paraná	Paraná	4305
2013	4	Paraná	Piedras Blancas	550
2013	4	Paraná	Rincón Potrero	867
2013	4	Paraná	Rosario	271
2013	4	Paraná	San Marcial	16668
2013	4	Paraná	San Miguel de Tucumán	276
2013	4	Paraná	Santa Elena	271
2013	4	Paraná	Santa Fe	18827
2013	4	Paraná	Santa Rosa	275
2013	4	Paraná	Seguí	542
2013	4	Paraná	Viale	572
2013	4	Paraná	Victoria	1931
2013	4	Paraná	Villa Allende	1092
2013	4	Paraná	Villa Carlos Paz	2178
2013	4	Paraná	Villa Urquiza	1670
2013	4	Paraná	Villa de María	1100
2013	4	Paraná	Villaguay	19574
2014	1	Concordia	Achiras	574
2014	1	Concordia	Bahía Blanca	297
2014	1	Concordia	Chajarí	15222
2014	1	Concordia	Ciudad de Buenos Aires	590
2014	1	Concordia	Colón	891
2014	1	Concordia	Concepción del Uruguay	30996
2014	1	Concordia	Curuzú Cuatiá	15018
2014	1	Concordia	Federación	54291
2014	1	Concordia	Los Charrúas	1643
2014	1	Concordia	Mar del Plata	1885
2014	1	Concordia	Monte Caseros	11480
2014	1	Concordia	Paraná	924
2014	1	Concordia	Rosario	1174
2014	1	Concordia	San Salvador	592
2014	1	Concordia	Santa Ana	966
2014	1	Concordia	Santa Fe	296
2014	1	Concordia	Santa Rosa	942
2014	1	Concordia	Villa Carlos Paz	1089
2014	1	Concordia	Villa General Manuel Belgrano	861
2014	1	Concordia	Villaguay	1077
2014	1	Paraná	Aldea Valle María	10714
2014	1	Paraná	Cerrito	3768
2014	1	Paraná	Ciudad de Buenos Aires	1091
2014	1	Paraná	Colón	1384
2014	1	Paraná	Concordia	19224
2014	1	Paraná	Cosquín	550
2014	1	Paraná	Diamante	1897
2014	1	Paraná	Esperanza	550
2014	1	Paraná	Federación	542
2014	1	Paraná	Gobernador Crespo	3258
2014	1	Paraná	Granadero Baigorria	542
2014	1	Paraná	Gualeguaychú	10266
2014	1	Paraná	Helvecia	1059
2014	1	Paraná	La Falda	542
2014	1	Paraná	La Picada	4980
2014	1	Paraná	Mar del Plata	26966
2014	1	Paraná	María Grande	21048
2014	1	Paraná	Nogoyá	2726
2014	1	Paraná	Oro Verde	1632
2014	1	Paraná	Paraná	550
2014	1	Paraná	Punta Mogotes	542
2014	1	Paraná	Rosario	5780
2014	1	Paraná	Rosario del Tala	544
2014	1	Paraná	Río Grande	276
2014	1	Paraná	San Carlos de Bariloche	542
2014	1	Paraná	San Francisco	542
2014	1	Paraná	San José de Feliciano	277
2014	1	Paraná	San Salvador	1146
