anio	trimestre	aglomerado_origen	localidad_destino	viajantes	geometry
2012	2	Paraná	Gualeguay	1882	c(-59.3106789, -33.1504259)
2012	2	Paraná	La Paz	3104	c(-59.6439325, -30.7422896)
2012	2	Paraná	La Paz	3104	c(-65.0482866, -32.2174729)
2012	2	Paraná	Las Flores	3692	c(-59.0998685, -36.0142754)
2012	2	Paraná	Libertador San Martín	968	c(-60.4618956, -32.0735522)
2012	2	Paraná	Libertador San Martín	968	c(-58.5388435, -34.5762765)
2012	2	Paraná	Mar del Plata	8686	c(-57.5482703, -37.9977225)
2012	2	Paraná	Puerto Iguazú	2064	c(-54.5828753060462, -25.6346782)
2012	2	Paraná	Puíggari	2012	c(-60.4473999, -32.0540309)
2012	2	Paraná	Rosario	10730	c(-60.6615415, -32.9595004)
2012	2	Paraná	Rosario del Tala	1017	c(-59.138887, -32.3008178)
2012	2	Paraná	Salta	10228	c(-65.4103194, -24.7892946)
2012	2	Paraná	San Benito	15690	c(-60.4375463, -31.7815004)
2012	2	Paraná	San Carlos de Bariloche	2290	c(-71.3098425, -41.1334421)
2012	2	Paraná	San Clemente del Tuyú	916	c(-56.7211428244866, -36.36439175)
2012	2	Paraná	San José de Feliciano	916	c(-58.7506643, -30.3854477)
2012	2	Paraná	San Martín (Ciudad)	526	c(-68.4710695, -33.0805336)
2012	2	Paraná	San Rafael (Ciudad)	3022	c(-68.330514, -34.6126025)
2012	2	Paraná	Santa Fe	31390	c(-60.7019561, -31.6186951)
2012	2	Paraná	Victoria	12561	c(-60.1576895, -32.6217981)
2012	2	Paraná	Victoria	12561	c(-58.5407091, -34.4541012)
2012	2	Paraná	Villa Urquiza	2888	c(-60.3770589, -31.6494738)
2012	2	Paraná	Villaguay	3539	c(-59.0270174, -31.8676271)
2012	3	Concordia	Chajarí	1569	c(-57.9848989, -30.7565741)
2012	3	Concordia	Ciudad de Buenos Aires	57424	c(-58.4370894, -34.6075682)
2012	3	Concordia	Corrientes	1033	c(-58.8311982, -27.4687004)
2012	3	Concordia	Federación	12912	c(-57.9194395, -30.9856574)
2012	3	Concordia	Monte Caseros	20020	c(-57.6294418, -30.2496832)
2012	3	Concordia	Moreno	954	c(-58.7898326, -34.6396556)
2012	3	Concordia	Paraná	20020	c(-60.5298511, -31.7330145)
2012	3	Concordia	Paraná	20020	c(-60.5298511, -31.7330145)
2012	3	Concordia	Puerto Yeruá	954	c(-58.0143686, -31.533997)
2012	3	Concordia	Ramos Mejía	477	c(-58.5622869, -34.6481661)
2012	3	Concordia	San Jaime de la Frontera	1440	c(-58.3070069, -30.3403336)
2012	3	Concordia	San Miguel de Tucumán	956	c(-65.2038133, -26.8303703)
2012	3	Concordia	San Rafael (Ciudad)	139	c(-68.330514, -34.6126025)
2012	3	Concordia	Santa Fe	574	c(-60.7019561, -31.6186951)
2012	3	Paraná	Aldea Valle María	1875	c(-60.5882194, -31.990497)
2012	3	Paraná	Ciudad de Buenos Aires	41161	c(-58.4370894, -34.6075682)
2012	3	Paraná	Colón	305	c(-58.1356171, -32.2182804)
2012	3	Paraná	Concepción del Uruguay	610	c(-58.2320232, -32.4851849)
2012	3	Paraná	Corrientes	869	c(-58.8311982, -27.4687004)
2012	3	Paraná	Crespo	915	c(-60.3062469, -32.0307826)
2012	3	Paraná	Diamante	3405	c(-60.6426494, -32.0670391)
2012	3	Paraná	Federación	750	c(-57.9194395, -30.9856574)
2012	3	Paraná	General Ramírez	880	c(-60.2017371, -32.1772159)
2012	3	Paraná	Gualeguay	304	c(-59.3106789, -33.1504259)
2012	3	Paraná	Hasenkamp	153	c(-59.8353304, -31.5120876)
2012	3	Paraná	Maciá	157	c(-59.395944, -32.1721133)
2012	3	Paraná	Mar del Plata	434	c(-57.5482703, -37.9977225)
2012	3	Paraná	María Grande	922	c(-59.9021724, -31.6647722)
2012	3	Paraná	Piedras Blancas	25160	c(-59.9011493185457, -31.1908228)
2012	3	Paraná	Posadas (Municipio de Posadas)	868	c(-55.894295, -27.3664824)
2012	3	Paraná	Potrerillos	18972	c(-69.1974467, -32.9607917)
2012	3	Paraná	Puerto Iguazú	1305	c(-54.5828753060462, -25.6346782)
2012	3	Paraná	Rosario	2697	c(-60.6615415, -32.9595004)
2012	3	Paraná	Salta	608	c(-65.4103194, -24.7892946)
2012	3	Paraná	San Miguel de Tucumán	434	c(-65.2038133, -26.8303703)
2012	3	Paraná	San Rafael (Ciudad)	1302	c(-68.330514, -34.6126025)
2012	3	Paraná	Santa Fe	27150	c(-60.7019561, -31.6186951)
2012	3	Paraná	Santiago del Estero	9736	c(-64.2595062, -27.7877148)
2012	3	Paraná	Urdinarrain	962	c(-58.8885673, -32.6910946)
2012	3	Paraná	Viale	922	c(-60.0132357, -31.8721601)
2012	3	Paraná	Victoria	153	c(-60.1576895, -32.6217981)
2012	3	Paraná	Victoria	153	c(-58.5407091, -34.4541012)
2012	3	Paraná	Villa Elisa	458	c(-58.4004902, -32.1631324)
2012	3	Paraná	Villa Urquiza	28172	c(-60.3770589, -31.6494738)
2012	4	Concordia	Chajarí	848	c(-57.9848989, -30.7565741)
2012	4	Concordia	Colón	23131	c(-58.1356171, -32.2182804)
2012	4	Concordia	Concepción del Uruguay	7561	c(-58.2320232, -32.4851849)
2012	4	Concordia	Corrientes	1038	c(-58.8311982, -27.4687004)
2012	4	Concordia	Federación	28530	c(-57.9194395, -30.9856574)
2012	4	Concordia	José C. Paz	401	c(-58.7776777, -34.511906)
2012	4	Concordia	Mendoza, Ciudad de	1384	c(-68.8446177, -32.8894155)
2012	4	Concordia	Puerto Yeruá	4945	c(-58.0143686, -31.533997)
2012	4	Concordia	Rosario	240	c(-60.6615415, -32.9595004)
2012	4	Concordia	Salta	4747	c(-65.4103194, -24.7892946)
2012	4	Concordia	San Carlos de Bariloche	330	c(-71.3098425, -41.1334421)
2012	4	Concordia	San José	1217	c(-58.2191465, -32.2122726)
2012	4	Concordia	San Salvador	9380	c(-58.5051869, -31.6247717)
2012	4	Concordia	Santa Fe	216	c(-60.7019561, -31.6186951)
2012	4	Concordia	Villa Carlos Paz	414	c(-64.4936985, -31.4183774)
2012	4	Concordia	Villa Elisa	502	c(-58.4004902, -32.1631324)
2012	4	Concordia	Villa Giardino	454	c(-64.4969372, -31.0503796)
2012	4	Paraná	Agua de Oro	1233	c(-64.2999884, -31.0644352)
2012	4	Paraná	Aldea Brasilera	4360	c(-60.5907921, -31.8902117)
2012	4	Paraná	Aldea María Luisa	1908	c(-60.4095672, -31.8840955)
2012	4	Paraná	Aldea Valle María	2408	c(-60.5882194, -31.990497)
2012	4	Paraná	Chajarí	352	c(-57.9848989, -30.7565741)
2012	4	Paraná	Ciudad de Buenos Aires	3162	c(-58.4370894, -34.6075682)
2012	4	Paraná	Colón	4264	c(-58.1356171, -32.2182804)
2012	4	Paraná	Concepción del Uruguay	7909	c(-58.2320232, -32.4851849)
2012	4	Paraná	Concordia	969	c(-58.0173305, -31.3972539)
2012	4	Paraná	Concordia	969	c(-58.0173305, -31.3972539)
2012	4	Paraná	Córdoba	592	c(-64.1834193, -31.4166867)
2012	4	Paraná	Diamante	755	c(-60.6426494, -32.0670391)
2012	4	Paraná	Federación	1321	c(-57.9194395, -30.9856574)
2012	4	Paraná	Federal	869	c(-58.7797943, -30.9558743)
2012	4	Paraná	Hernandarias	4120	c(-59.9882684, -31.2300739)
2012	4	Paraná	Huerta Grande	294	c(-64.489718, -31.0752026)
2012	4	Paraná	Islas	320	c(-58.5373798, -34.0378533)
2012	4	Paraná	La Banda	2112	c(-64.2434402, -27.7357077)
2012	4	Paraná	La Falda	306	c(-64.4829365, -31.0946192)
2012	4	Paraná	La Paz	153	c(-59.6439325, -30.7422896)
2012	4	Paraná	La Paz	153	c(-65.0482866, -32.2174729)
2012	4	Paraná	La Picada	2940	c(-60.2966741, -31.7256604)
2012	4	Paraná	Magdalena	1041	c(-57.5177029, -35.0805371)
2012	4	Paraná	Mar del Plata	3174	c(-57.5482703, -37.9977225)
2012	4	Paraná	Oro Verde	15346	c(-60.5165484, -31.8254963)
2012	4	Paraná	Puerto Iguazú	2368	c(-54.5828753060462, -25.6346782)
2012	4	Paraná	Rosario	6758	c(-60.6615415, -32.9595004)
2012	4	Paraná	Salta	1516	c(-65.4103194, -24.7892946)
2012	4	Paraná	San Javier y Yacanto	306	c(-65.0240642018157, -32.03500135)
2012	4	Paraná	San José de Feliciano	10401	c(-58.7506643, -30.3854477)
2012	4	Paraná	Santa Fe	33417	c(-60.7019561, -31.6186951)
2012	4	Paraná	Santo Tomé	26841	c(-60.7618282, -31.6630458)
2012	4	Paraná	Valle Hermoso	731	c(-64.4830387, -31.1169195)
2012	4	Paraná	Viale	1458	c(-60.0132357, -31.8721601)
2012	4	Paraná	Victoria	280	c(-60.1576895, -32.6217981)
2012	4	Paraná	Victoria	280	c(-58.5407091, -34.4541012)
2012	4	Paraná	Villa Urquiza	7926	c(-60.3770589, -31.6494738)
2012	4	Paraná	Villaguay	1488	c(-59.0270174, -31.8676271)
2013	1	Concordia	Chajarí	16352	c(-57.9848989, -30.7565741)
2013	1	Concordia	Colón	1594	c(-58.1356171, -32.2182804)
2013	1	Concordia	Concordia	82746	c(-58.0173305, -31.3972539)
2013	1	Concordia	Concordia	82746	c(-58.0173305, -31.3972539)
2013	1	Concordia	Federación	4168	c(-57.9194395, -30.9856574)
2013	1	Concordia	Gualeguaychú	444	c(-58.5103466, -33.0078585)
2013	1	Concordia	Mar del Plata	1060	c(-57.5482703, -37.9977225)
2013	1	Concordia	Neuquén	148	c(-68.0591741, -38.9519679)
2013	1	Concordia	Oberá	307	c(-55.1202965, -27.4849798)
2013	1	Concordia	Paraná	5062	c(-60.5298511, -31.7330145)
2013	1	Concordia	Paraná	5062	c(-60.5298511, -31.7330145)
2013	1	Concordia	Pinamar	447	c(-56.8539007, -37.1099492)
2013	1	Concordia	Salta	444	c(-65.4103194, -24.7892946)
2013	1	Concordia	San Pedro	1071	c(-58.0813122, -30.756868)
2013	1	Concordia	San Pedro	1071	c(-59.662845, -33.6758554)
2013	1	Concordia	Santa Rosa de Calamuchita	8876	c(-64.5396135, -32.0644855)
2013	1	Concordia	Tandil	1956	c(-59.1356957, -37.3282887)
2013	1	Concordia	Villa Gesell	296	c(-56.9679411, -37.2556627)
2013	1	Paraná	Cerrito	1467	c(-60.0758114, -31.5804369)
2013	1	Paraná	Ciudad de Buenos Aires	14423	c(-58.4370894, -34.6075682)
2013	1	Paraná	Colón	90290	c(-58.1356171, -32.2182804)
2013	1	Paraná	Concordia	290	c(-58.0173305, -31.3972539)
2013	1	Paraná	Concordia	290	c(-58.0173305, -31.3972539)
2013	1	Paraná	Coronda	247	c(-60.915983, -31.9744568)
2013	1	Paraná	Córdoba	142	c(-64.1834193, -31.4166867)
2013	1	Paraná	Diamante	68896	c(-60.6426494, -32.0670391)
2013	1	Paraná	Empedrado	474	c(-58.8089124, -27.9542622)
2013	1	Paraná	Esperanza	1148	c(-60.9304048, -31.448994)
2013	1	Paraná	Federación	3529	c(-57.9194395, -30.9856574)
2013	1	Paraná	Guadalupe Norte	142	c(-59.5625112, -28.939216)
2013	1	Paraná	Gualeguaychú	4270	c(-58.5103466, -33.0078585)
